iter	RMSE
0	0.3180818291
1	0.3161486561
2	0.3140744038
3	0.3124015061
4	0.3108503595
5	0.3094896015
6	0.3076505579
7	0.3059064983
8	0.3041358636
9	0.3020570566
10	0.3001063019
11	0.2985052925
12	0.2969854747
13	0.2951893844
14	0.2931203063
15	0.2911037964
16	0.2893649419
17	0.2878369166
18	0.2861990416
19	0.2848609632
20	0.2832460914
21	0.2815171625
22	0.279836532
23	0.2780847399
24	0.2763330104
25	0.2748132721
26	0.2734744384
27	0.2713990818
28	0.2693870292
29	0.2682946741
30	0.2664805109
31	0.2649477564
32	0.2638305087
33	0.2625330156
34	0.2612250196
35	0.2600398547
36	0.2583417311
37	0.2569639371
38	0.2552770345
39	0.2541632349
40	0.2526776827
41	0.2517292744
42	0.2512006003
43	0.2502491819
44	0.2490110347
45	0.2477630251
46	0.2463219977
47	0.2451830536
48	0.2441863582
49	0.2431540733
50	0.2419464863
51	0.2410197506
52	0.2398353967
53	0.2386650146
54	0.2374041581
55	0.2360188062
56	0.2348668646
57	0.2340240509
58	0.233008713
59	0.2318828844
60	0.230936627
61	0.2297360448
62	0.2289441299
63	0.2280783141
64	0.227107908
65	0.2262394894
66	0.2253215259
67	0.2244537872
68	0.2235848512
69	0.2223865696
70	0.2216943933
71	0.2206494452
72	0.2198661405
73	0.2187181321
74	0.2178350801
75	0.2169619972
76	0.2161025353
77	0.2151212434
78	0.2143164083
79	0.2134099017
80	0.2127302947
81	0.2119292279
82	0.2110872754
83	0.2100846874
84	0.2091925683
85	0.208200584
86	0.207301785
87	0.2062705687
88	0.2054628736
89	0.2045950058
90	0.203711443
91	0.2029575814
92	0.2021479929
93	0.2012869755
94	0.200271832
95	0.1995842446
96	0.1987565191
97	0.1979648629
98	0.1970859418
99	0.1963502588
100	0.1953352949
101	0.1947654316
102	0.1942461392
103	0.1936899635
104	0.1929700195
105	0.1923217712
106	0.1919703077
107	0.1911528084
108	0.1901947345
109	0.1894561887
110	0.1886801567
111	0.188236526
112	0.1877276282
113	0.187060603
114	0.1864729193
115	0.1857316419
116	0.1849284937
117	0.1843752807
118	0.1835300607
119	0.1830359552
120	0.1822853624
121	0.1817812011
122	0.1808660896
123	0.1802416545
124	0.1796023019
125	0.1790351949
126	0.1782641179
127	0.1776567187
128	0.1769396539
129	0.1763744913
130	0.1757821409
131	0.1752536299
132	0.1748756113
133	0.1741952909
134	0.1736358631
135	0.1732888191
136	0.1725763575
137	0.1716598771
138	0.1710644007
139	0.1702462581
140	0.1696970187
141	0.1692032392
142	0.1688665283
143	0.1684045535
144	0.1679026908
145	0.167415126
146	0.1668548616
147	0.1665212721
148	0.166037557
149	0.1654326523
150	0.1650067343
151	0.1643788532
152	0.1639279411
153	0.1635277818
154	0.1629739126
155	0.1626556762
156	0.1623006516
157	0.1616080499
158	0.1610064133
159	0.1607877917
160	0.1605590441
161	0.1600318837
162	0.1596491219
163	0.1591619455
164	0.158702662
165	0.1582266691
166	0.1578343525
167	0.1573654883
168	0.1568541821
169	0.1564864143
170	0.1561955663
171	0.1557048119
172	0.1551503141
173	0.1547788202
174	0.1541784797
175	0.1539545982
176	0.1535649949
177	0.1531851995
178	0.1527812047
179	0.152584009
180	0.1521758997
181	0.1517361693
182	0.1515044675
183	0.1511173852
184	0.1507015798
185	0.1504553445
186	0.1499658685
187	0.1495490143
188	0.1491986958
189	0.1488156385
190	0.1482568845
191	0.1480729879
192	0.147720715
193	0.1472788012
194	0.1467042181
195	0.1463468038
196	0.1459572539
197	0.1456599474
198	0.1453753314
199	0.145063458
200	0.1446564385
201	0.1443620453
202	0.1441145446
203	0.1437306035
204	0.1433030328
205	0.1428626577
