iter	Passed	Remaining
0	57	231332
1	58	117600
2	60	79952
3	60	60755
4	61	49240
5	62	41511
6	63	36039
7	63	31931
8	64	28766
9	65	26177
10	66	24043
11	67	22315
12	67	20833
13	68	19550
14	69	18463
15	70	17498
16	71	16676
17	71	15909
18	72	15226
19	73	14613
20	74	14078
21	74	13537
22	75	13112
23	76	12716
24	77	12346
25	78	11980
26	79	11647
27	79	11326
28	80	11024
29	81	10746
30	81	10459
31	82	10213
32	83	9982
33	83	9716
34	83	9508
35	84	9317
36	85	9134
37	85	8955
38	86	8812
39	87	8661
40	88	8512
41	88	8381
42	89	8204
43	89	8086
44	90	7964
45	91	7849
46	92	7795
47	93	7689
48	94	7595
49	95	7512
50	95	7415
51	96	7316
52	96	7222
53	97	7138
54	98	7073
55	99	6998
56	100	6920
57	100	6844
58	101	6774
59	102	6709
60	103	6657
61	103	6591
62	103	6497
63	104	6435
64	105	6374
65	105	6311
66	106	6237
67	106	6182
68	107	6130
69	108	6079
70	108	6014
71	109	5976
72	110	5927
73	110	5887
74	111	5845
75	112	5803
76	113	5761
77	113	5725
78	114	5685
79	115	5644
80	115	5604
81	116	5566
82	117	5527
83	117	5494
84	118	5461
85	119	5456
86	120	5417
87	120	5371
88	121	5336
89	122	5303
90	122	5263
91	123	5233
92	123	5202
93	124	5173
94	125	5145
95	125	5119
96	126	5090
97	127	5067
98	127	5039
99	128	5016
100	129	4992
101	130	4969
102	131	4967
103	131	4943
104	132	4918
105	133	4895
106	133	4873
107	134	4854
108	135	4837
109	135	4809
110	136	4788
111	137	4767
112	137	4739
113	138	4721
114	139	4703
115	140	4687
116	140	4669
117	141	4643
118	141	4619
119	142	4606
120	143	4591
121	143	4575
122	144	4551
123	145	4535
124	145	4519
125	146	4504
126	147	4492
127	148	4478
128	148	4465
129	149	4450
130	150	4436
131	151	4425
132	151	4403
133	152	4388
134	152	4375
135	156	4448
136	157	4432
137	157	4419
138	159	4417
139	160	4433
140	162	4444
141	163	4436
142	164	4423
143	164	4418
144	166	4415
145	167	4408
146	168	4403
147	168	4398
148	169	4392
149	170	4384
150	171	4379
151	172	4366
152	173	4363
153	175	4373
154	175	4364
155	182	4499
156	186	4553
157	186	4539
158	187	4535
159	188	4523
160	189	4510
161	189	4497
162	190	4485
163	191	4473
164	192	4465
165	192	4453
166	193	4444
167	194	4432
168	194	4420
169	195	4406
170	196	4395
171	196	4384
172	197	4372
173	198	4361
174	198	4348
175	199	4330
176	199	4318
177	200	4306
178	201	4293
179	201	4283
180	202	4271
181	203	4260
182	203	4249
183	204	4237
184	205	4227
185	205	4216
186	206	4206
187	206	4190
188	207	4180
189	207	4163
190	208	4153
191	208	4143
192	209	4133
